name,patterns,N,k,max_abs_nonzero,empirical_k_nc,argmax_m,argmax_symbolic
K4_01_010_110,01 010 110,4096,4,0.00830078125,No,45,(1/4096) * (2031*zeta^1 + 2065*zeta^3)
K4_01_010_110,01 010 110,4096,5,0.3090173433064186,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^4)
K4_01_010_110,01 010 110,4096,6,0.5000001788139021,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^5)
K4_01_010_110,01 010 110,4096,7,0.6234899187298016,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^6)
K4_01_010_110,01 010 110,4096,8,0.7071068654802393,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^7)
K4_10_001_101,10 001 101,4096,2,1.0,No,1,(1/4096) * (4096*zeta^1)
K4_10_001_101,10 001 101,4096,3,0.5000001788139024,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^2)
K4_10_001_101,10 001 101,4096,4,0.00830078125,No,45,(1/4096) * (2031*zeta^1 + 2065*zeta^3)
K4_10_001_101,10 001 101,4096,5,0.3090173433064186,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^4)
K4_10_001_101,10 001 101,4096,6,0.5000001788139021,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^5)
K4_10_001_101,10 001 101,4096,7,0.6234899187298016,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^6)
K4_10_001_101,10 001 101,4096,8,0.7071068654802393,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^7)
K4_001_010_101_110,001 010 101 110,4096,2,1.0,No,1,(1/4096) * (4096*zeta^1)
K4_001_010_101_110,001 010 101 110,4096,3,0.5000001788139024,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^2)
K4_001_010_101_110,001 010 101 110,4096,4,0.00830078125,No,45,(1/4096) * (2031*zeta^1 + 2065*zeta^3)
K4_001_010_101_110,001 010 101 110,4096,5,0.3090173433064186,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^4)
K4_001_010_101_110,001 010 101 110,4096,6,0.5000001788139021,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^5)
K4_001_010_101_110,001 010 101 110,4096,7,0.6234899187298016,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^6)
K4_001_010_101_110,001 010 101 110,4096,8,0.7071068654802393,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^7)
K4_1_01_10,1 01 10,4096,2,0.34375,No,64,(1/4096) * (1344 + 2752*zeta^1)
K4_1_01_10,1 01 10,4096,3,0.18925906595261852,No,1,(1/4096) * (1463 + 1756*zeta^1 + 877*zeta^2)
K4_1_01_10,1 01 10,4096,4,0.005132762705475766,No,51,(1/4096) * (884 + 1154*zeta^1 + 905*zeta^2 + 1153*zeta^3)
K4_1_01_10,1 01 10,4096,5,0.15964842784448266,No,1,(1/4096) * (1322 + 660*zeta^1 + 330*zeta^2 + 1189*zeta^3 + 595*zeta^4)
K4_1_01_10,1 01 10,4096,6,0.2883933286228567,No,1,(1/4096) * (1300 + 650*zeta^1 + 325*zeta^2 + 163*zeta^3 + 1106*zeta^4 + 552*zeta^5)
K4_1_01_10,1 01 10,4096,7,0.3936448751890142,No,1,(1/4096) * (1290 + 645*zeta^1 + 323*zeta^2 + 162*zeta^3 + 80*zeta^4 + 1064*zeta^5 + 532*zeta^6)
